"№","barcode","name","amount","price"
1,"5904765604464","Key Труси жін LPC 908 A20 multicolor L",2.00,99.00
2,"5904765604471","Key Труси жін LPC 908 A20 multicolor XL",2.00,99.00
3,"5904765604488","Key Труси жін LPC 908 A20 multicolor XXL",2.00,99.00
4,"5904765604709","Key Труси жін LPC 913 A20 multicolor L",2.00,99.00
5,"5904765604716","Key Труси жін LPC 913 A20 multicolor XL",2.00,99.00
6,"5904765604723","Key Труси жін LPC 913 A20 multicolor XXL",2.00,99.00
7,"5904765604938","Key Труси жін LPC 928 A20 multicolor L",2.00,105.00
8,"5904765604921","Key Труси жін LPC 928 A20 multicolor M",2.00,105.00
9,"5904765604945","Key Труси жін LPC 928 A20 multicolor XL",2.00,105.00
10,"5904765604952","Key Труси жін LPC 928 A20 multicolor XXL",2.00,105.00
11,"5904765605256","Key Труси жін LPC 955 A20 multicolor XL",2.00,99.00
12,"5904765605164","Key Труси жін LPH 930 A20 multicolor L",2.00,88.00
13,"5904765605171","Key Труси жін LPH 930 A20 multicolor XL",2.00,88.00
14,"5904765602743","Key Труси жін LPR 260 A20 multicolor L",2.00,88.00
15,"5904765602736","Key Труси жін LPR 260 A20 multicolor M",2.00,88.00
16,"5904765602729","Key Труси жін LPR 260 A20 multicolor S",2.00,88.00
17,"5904765603221","Key Труси жін LPR 511 A20 multicolor L",2.00,88.00
18,"5904765603214","Key Труси жін LPR 511 A20 multicolor M",2.00,88.00
19,"5904765603207","Key Труси жін LPR 511 A20 multicolor S",2.00,88.00
20,"5904765603238","Key Труси жін LPR 511 A20 multicolor XL",2.00,88.00
21,"5904765603443","Key Труси жін LPR 557 A20 multicolor L",2.00,88.00
22,"5904765603436","Key Труси жін LPR 557 A20 multicolor M",2.00,88.00
23,"5904765603429","Key Труси жін LPR 557 A20 multicolor S",2.00,88.00
24,"5904765603498","Key Труси жін LPR 563 A20 multicolor XL",2.00,88.00
25,"5904765603528","Key Труси жін LPR 566 A20 multicolor L",2.00,88.00
26,"5904765603511","Key Труси жін LPR 566 A20 multicolor M",2.00,88.00
27,"5904765603504","Key Труси жін LPR 566 A20 multicolor S",2.00,88.00
28,"5904765603535","Key Труси жін LPR 566 A20 multicolor XL",2.00,88.00
29,"5904765603832","Key Труси жін LPR 618 A20 multicolor M",2.00,88.00
30,"5904765603825","Key Труси жін LPR 618 A20 multicolor S",2.00,88.00
31,"5904765605348","Key Труси жін LPR 998 A20 multicolor M",2.00,88.00
32,"5904765605331","Key Труси жін LPR 998 A20 multicolor S",2.00,88.00
33,"5904765606734","Key Труси чол MPP 387 A20 multicolor XL",2.00,84.00
34,"5904765606741","Key Труси чол MPP 387 A20 multicolor XXL",2.00,84.00
35,"5904765607366","Key Труси чол MPP 731 A20 multicolor XXL",2.00,84.00
36,"5904765605423","Key Шорти чол MXH 204 A20 BI bialy L",1.00,139.00
37,"5904765605416","Key Шорти чол MXH 204 A20 BI bialy M",1.00,139.00
38,"5904765605430","Key Шорти чол MXH 204 A20 BI bialy XL",1.00,139.00
39,"5904765605447","Key Шорти чол MXH 204 A20 BI bialy XXL",1.00,139.00
40,"5904765607021","Key Шорти чол MXH 424 A20 multicolor L",1.00,139.00
41,"5904765607014","Key Шорти чол MXH 424 A20 multicolor M",1.00,139.00
42,"5904765607038","Key Шорти чол MXH 424 A20 multicolor XL",1.00,139.00
43,"5904765607045","Key Шорти чол MXH 424 A20 multicolor XXL",1.00,139.00
44,"5904765607427","Key Шорти чол MXH 731 A20 ZI zielony L",1.00,139.00
45,"5904765607410","Key Шорти чол MXH 731 A20 ZI zielony M",1.00,139.00
46,"5904765607434","Key Шорти чол MXH 731 A20 ZI zielony XL",1.00,139.00
47,"5904765607441","Key Шорти чол MXH 731 A20 ZI zielony XXL",1.00,139.00
